Akaa	23.858000	61.169000
Alahärmä	22.850000	63.233000
Alajärvi	23.817000	63.000000
Alastaro	22.860000	60.957000
Alavieska	24.300000	64.167000
Alavus	23.617000	62.583000
Anjalankoski	26.846000	60.697000
Artjärvi	26.083000	60.750000
Asikkala	25.549000	61.173000
Askainen	21.866000	60.571000
Askola	25.599000	60.530000
Aura	22.577000	60.646000
Brändö	21.047000	60.413000
Dragsfjärd	22.483000	60.067000
Eckerö	19.614000	60.213000
Elimäki	26.452000	60.717000
Eno	30.150000	62.800000
Enonkoski	28.933000	62.083000
Enontekiö	23.633000	68.383000
Espoo	24.658000	60.209000
Eura	22.133000	61.133000
Eurajoki	21.733000	61.200000
Evijärvi	23.483000	63.367000
Finström	19.995000	60.228000
Forssa	23.621000	60.819000
Föglö	20.392000	60.030000
Geta	19.850000	60.383000
Haapajärvi	25.329000	63.752000
Haapavesi	25.377000	64.145000
Hailuoto	24.715000	65.010000
Halikko	23.083000	60.400000
Halsua	24.167000	63.467000
Hamina	27.201000	60.564000
Hammarland	19.750000	60.217000
Hankasalmi	26.431000	62.385000
Hanko	22.950000	59.833000
Harjavalta	22.135000	61.316000
Hartola	26.018000	61.583000
Hattula	24.383000	61.067000
Hauho	24.550000	61.167000
Haukipudas	25.350000	65.183000
Hausjärvi	25.000000	60.783000
Heinola	26.040000	61.205000
Heinävesi	28.600000	62.433000
Helsinki	24.931000	60.170000
Himanka	23.650000	64.067000
Hirvensalmi	26.788000	61.642000
Hollola	25.537000	60.987000
Honkajoki	22.267000	61.983000
Houtskari	21.383000	60.217000
Huittinen	22.689000	61.178000
Humppila	23.367000	60.933000
Hyrynsalmi	28.510000	64.677000
Hyvinkää	24.876000	60.633000
Hämeenkoski	25.157000	61.030000
Hämeenkyrö	23.200000	61.633000
Hämeenlinna	24.450000	61.000000
Ii	25.367000	65.317000
Iisalmi	27.183000	63.567000
Iitti	26.350000	60.890000
Ikaalinen	23.067000	61.772000
Ilmajoki	22.578000	62.732000
Ilomantsi	30.917000	62.667000
Imatra	28.774000	61.190000
Inari	27.017000	68.900000
Iniö	24.017000	60.050000
Inkoo	24.017000	60.050000
Isojoki	21.967000	62.117000
Isokyrö	22.317000	63.000000
Jaala	26.483000	61.050000
Jalasjärvi	22.764000	62.490000
Janakkala	24.600000	60.900000
Joensuu	29.767000	62.600000
Jokioinen	23.483000	60.803000
Jomala	19.958000	60.155000
Joroinen	27.833000	62.183000
Joutsa	26.129000	61.748000
Joutseno	28.518000	61.117000
Juankoski	28.320000	63.064000
Jurva	21.979000	62.687000
Juuka	29.251000	63.246000
Juupajoki	24.450000	61.783000
Juva	27.863000	61.899000
Jyväskylä	25.733000	62.233000
Jyväskylän	25.747000	62.287000
Jämijärvi	22.700000	61.817000
Jämsä	25.200000	61.867000
Jämsänkoski	25.183000	61.917000
Järvenpää	25.083000	60.478000
Kaarina	22.376000	60.391000
Kaavi	28.483000	62.976000
Kajaani	27.683000	64.233000
Kalajoki	23.950000	64.250000
Kalvola	24.117000	61.100000
Kangasala	24.076000	61.463000
Kangasniemi	26.633000	61.983000
Kankaanpää	22.390000	61.803000
Kannonkoski	25.250000	62.967000
Kannus	23.896000	63.904000
Karijoki	21.700000	62.300000
Karjaa	23.680000	60.069000
Karjalohja	23.717000	60.250000
Karkkila	24.219000	60.532000
Karstula	24.783000	62.867000
Karttula	26.965000	62.897000
Karvia	22.567000	62.133000
Kaskinen	21.231000	62.376000
Kauhajoki	22.170000	62.424000
Kauhava	23.083000	63.100000
Kauniainen	24.726000	60.212000
Kaustinen	23.700000	63.533000
Keitele	26.367000	63.183000
Kemi	24.567000	65.733000
Kemijärvi	27.425000	66.719000
Keminmaa	24.533000	65.817000
Kemiö	22.700000	60.167000
Kempele	25.500000	64.917000
Kerava	25.117000	60.400000
Kerimäki	29.283000	61.917000
Kestilä	26.270000	64.350000
Kesälahti	29.834000	61.893000
Keuruu	24.706000	62.257000
Kihniö	23.183000	62.200000
Kiikala	23.550000	60.465000
Kiikoinen	22.583000	61.450000
Kiiminki	25.733000	65.133000
Kinnula	24.970000	63.370000
Kirkkonummi	24.433000	60.117000
Kisko	23.483000	60.233000
Kitee	30.150000	62.100000
Kittilä	24.903000	67.651000
Kiukainen	22.083000	61.217000
Kiuruvesi	26.617000	63.650000
Kivijärvi	21.883000	60.967000
Kokemäki	22.350000	61.250000
Kokkola	23.128000	63.844000
Kolari	23.788000	67.331000
